Pink,Green,Gold
Lion,Whale,Elephant
Bird,Fish,In Between
Banana,Kiwi,Lemon
Day,Night,Morning
Rain,Storm,Sunshine
Circle,Spiral,Triangle
Fire,Water,Earth
Stone,Scale,Feather
Mirror,Key,Lantern
Denim,Lace,Velvet
Ocean,Desert,Forest
Whisper,Song,Silence
Cloud,River,Mountain
Silver,Copper,Amethyst
North,South,West
Ink,Dust,Flame
Glass,Clay,Wood
Salt,Sugar,Spice
Sun,Star,Eclipse
Moss,Sand,Snow
Hollow,Solid,Shifting
Memory,Dream,Echo
Root,Petal,Thorn
Step,Breath,Heartbeat
Tea,Coffee,Cocoa
Lantern,Neon,Shadow
Wool,Silk,Metal
Middle,End,Beginning
Canyon,Cave,Horizon
Truth,Myth,Fiction
Chain,Ribbon,Thread
